"","Location.Name","Rate.Year","Cohort.Graduation.Year","Total.Cohort","Total.Graduated","OffTrack.Other","Dropouts","Graduation.Rate","Dropout.Rate","gradyear","enrollyear"
"1","Allen Park Public Schools (82020)","4-Year",2009,363,309,26,28,0.8512,0.0744,2009,2005
"2","Allen Park Public Schools (82020)","5-Year",2008,371,326,22,23,0.8787,0.0593,2009,2004
"3","Allen Park Public Schools (82020)","6-Year",2007,343,299,22,22,0.8717,0.0641,2009,2003
"4","Crestwood School District (82230)","4-Year",2009,258,223,16,19,0.8643,0.0736,2009,2005
"5","Crestwood School District (82230)","5-Year",2008,290,274,5,11,0.9414,0.0379,2009,2004
"6","Crestwood School District (82230)","6-Year",2007,265,241,3,21,0.9094,0.0755,2009,2003
"7","Dearborn City School District (82030)","4-Year",2009,1475,1183,149,143,0.802,0.0969,2009,2005
"8","Dearborn City School District (82030)","5-Year",2008,1450,1239,34,177,0.8538,0.1214,2009,2004
"9","Dearborn City School District (82030)","6-Year",2007,1456,1197,9,250,0.8221,0.1717,2009,2003
"10","Dearborn Heights School District #7 (82040)","4-Year",2009,161,128,16,17,0.795,0.0994,2009,2005
"11","Dearborn Heights School District #7 (82040)","5-Year",2008,155,121,1,33,0.7806,0.2065,2009,2004
"12","Dearborn Heights School District #7 (82040)","6-Year",2007,170,141,-1,30,0.8294,0.1706,2009,2003
"13","Detroit City School District (82010)","4-Year",2009,8709,5195,1676,1838,0.5965,0.211,2009,2005
"14","Detroit City School District (82010)","5-Year",2008,9348,6010,534,2804,0.6429,0.2999,2009,2004
"15","Detroit City School District (82010)","6-Year",2007,9292,6093,206,2993,0.6557,0.322,2009,2003
"16","Ecorse Public Schools (82250)","4-Year",2009,125,65,29,31,0.52,0.248,2009,2005
"17","Ecorse Public Schools (82250)","5-Year",2008,140,71,15,54,0.5071,0.3786,2009,2004
"18","Ecorse Public Schools (82250)","6-Year",2007,143,83,1,59,0.5804,0.4056,2009,2003
"19","Flat Rock Community Schools (82180)","4-Year",2009,139,107,8,24,0.7626,0.1655,2009,2005
"20","Flat Rock Community Schools (82180)","5-Year",2008,138,113,-1,26,0.8116,0.1884,2009,2004
"21","Flat Rock Community Schools (82180)","6-Year",2007,131,122,-1,10,0.9237,0.0763,2009,2003
"22","Garden City Public Schools (82050)","4-Year",2009,560,324,161,75,0.5768,0.1339,2009,2005
"23","Garden City Public Schools (82050)","5-Year",2008,566,375,66,125,0.6608,0.2191,2009,2004
"24","Garden City Public Schools (82050)","6-Year",2007,561,365,28,168,0.6506,0.2977,2009,2003
"25","Gibraltar School District (82290)","4-Year",2009,302,261,23,18,0.8642,0.0596,2009,2005
"26","Gibraltar School District (82290)","5-Year",2008,267,248,-1,20,0.9251,0.0749,2009,2004
"27","Gibraltar School District (82290)","6-Year",2007,228,204,-1,25,0.8904,0.1096,2009,2003
"28","Grosse Ile Township Schools (82300)","4-Year",2009,162,145,10,7,0.8889,0.0432,2009,2005
"29","Grosse Ile Township Schools (82300)","5-Year",2008,183,179,-1,5,0.9727,0.0219,2009,2004
"30","Grosse Ile Township Schools (82300)","6-Year",2007,196,193,0,3,0.9796,0.0153,2009,2003
"31","Grosse Pointe Public Schools (82055)","4-Year",2009,792,757,22,13,0.9558,0.0164,2009,2005
"32","Grosse Pointe Public Schools (82055)","5-Year",2008,844,813,12,19,0.9621,0.0225,2009,2004
"33","Grosse Pointe Public Schools (82055)","6-Year",2007,760,739,2,19,0.9711,0.025,2009,2003
"34","Hamtramck, School District of the City of (82060)","4-Year",2009,262,136,60,66,0.5153,0.2481,2009,2005
"35","Hamtramck, School District of the City of (82060)","5-Year",2008,233,155,10,68,0.6652,0.2876,2009,2004
"36","Hamtramck, School District of the City of (82060)","6-Year",2007,235,161,1,73,0.6851,0.3064,2009,2003
"37","Harper Woods, The School District of the City of (82320)","4-Year",2009,96,84,6,6,0.875,0.0625,2009,2005
"38","Harper Woods, The School District of the City of (82320)","5-Year",2008,92,81,-1,12,0.8696,0.1196,2009,2004
"39","Harper Woods, The School District of the City of (82320)","6-Year",2007,91,83,-1,9,0.9011,0.0989,2009,2003
"40","Highland Park City Schools (82070)","4-Year",2009,584,214,131,239,0.3664,0.4092,2009,2005
"41","Highland Park City Schools (82070)","5-Year",2008,751,295,43,413,0.3915,0.5499,2009,2004
"42","Highland Park City Schools (82070)","6-Year",2007,739,266,14,459,0.3586,0.6198,2009,2003
"43","Huron School District (82340)","4-Year",2009,225,196,17,12,0.8711,0.0489,2009,2005
"44","Huron School District (82340)","5-Year",2008,205,181,3,21,0.8829,0.1024,2009,2004
"45","Huron School District (82340)","6-Year",2007,177,163,1,13,0.9209,0.0734,2009,2003
"46","Lincoln Park, School District of the City of (82090)","4-Year",2009,335,237,48,50,0.7045,0.1463,2009,2005
"47","Lincoln Park, School District of the City of (82090)","5-Year",2008,327,255,13,59,0.7768,0.1774,2009,2004
"48","Lincoln Park, School District of the City of (82090)","6-Year",2007,343,278,4,61,0.8076,0.1778,2009,2003
"49","Livonia Public Schools School District (82095)","4-Year",2009,1536,1364,111,61,0.888,0.0391,2009,2005
"50","Livonia Public Schools School District (82095)","5-Year",2008,1539,1419,43,77,0.9214,0.0494,2009,2004
"51","Livonia Public Schools School District (82095)","6-Year",2007,1558,1434,40,84,0.9198,0.0539,2009,2003
"52","Melvindale-North Allen Park Schools (82045)","4-Year",2009,187,158,10,19,0.8449,0.1016,2009,2005
"53","Melvindale-North Allen Park Schools (82045)","5-Year",2008,195,164,2,29,0.841,0.1436,2009,2004
"54","Melvindale-North Allen Park Schools (82045)","6-Year",2007,181,157,-1,25,0.8674,0.1326,2009,2003
"55","Northville Public Schools (82390)","4-Year",2009,583,563,12,8,0.964,0.0137,2009,2005
"56","Northville Public Schools (82390)","5-Year",2008,548,525,18,5,0.958,0.0091,2009,2004
"57","Northville Public Schools (82390)","6-Year",2007,504,474,24,6,0.9385,0.0119,2009,2003
"58","Plymouth-Canton Community Schools (82100)","4-Year",2009,1504,1318,130,56,0.8763,0.0372,2009,2005
"59","Plymouth-Canton Community Schools (82100)","5-Year",2008,1532,1364,58,110,0.8903,0.0718,2009,2004
"60","Plymouth-Canton Community Schools (82100)","6-Year",2007,1441,1297,15,129,0.8994,0.0895,2009,2003
"61","Redford Union Schools, District No. 1 (82110)","4-Year",2009,380,260,60,60,0.6816,0.1553,2009,2005
"62","Redford Union Schools, District No. 1 (82110)","5-Year",2008,342,252,14,76,0.7368,0.2222,2009,2004
