Location.Name,Rate.Year,Cohort.Graduation.Year,Total.Cohort,Total.Graduated,OffTrack.Other,Dropouts,Graduation.Rate,Dropout.Rate,gradyear,enrollyear,School.Name,ZIP.Code,Latitude,Longitude
Academy for Business and Technology (82921),5-Year,2012,70,65,-1,6,0.9143,0.0857,2013,2008,Academy for Business and Technology,48122,42.2821402,-83.17677605
Academy for Business and Technology (82921),4-Year,2013,71,58,5,8,0.8169,0.0986,2013,2009,Academy for Business and Technology,48122,42.2821402,-83.17677605
Academy for Business and Technology (82921),6-Year,2013,70,60,0,10,0.8571,0.1286,2015,2009,Academy for Business and Technology,48122,42.2821402,-83.17677605
Academy for Business and Technology (82921),4-Year,2010,70,56,3,11,0.8,0.1429,2010,2006,Academy for Business and Technology,48122,42.2821402,-83.17677605
Academy for Business and Technology (82921),6-Year,2011,52,47,-1,6,0.9038,0.0962,2013,2007,Academy for Business and Technology,48122,42.2821402,-83.17677605
Academy for Business and Technology (82921),6-Year,2010,66,57,-1,10,0.8485,0.1515,2012,2006,Academy for Business and Technology,48122,42.2821402,-83.17677605
Academy for Business and Technology (82921),5-Year,2010,68,58,-1,11,0.8529,0.1471,2011,2006,Academy for Business and Technology,48122,42.2821402,-83.17677605
Academy for Business and Technology (82921),4-Year,2011,55,46,6,3,0.8182,0.0545,2011,2007,Academy for Business and Technology,48122,42.2821402,-83.17677605
Academy for Business and Technology (82921),6-Year,2009,62,55,0,7,0.871,0.1129,2011,2005,Academy for Business and Technology,48122,42.2821402,-83.17677605
Academy for Business and Technology (82921),5-Year,2009,63,54,2,7,0.8571,0.1111,2010,2005,Academy for Business and Technology,48122,42.2821402,-83.17677605
Academy for Business and Technology (82921),5-Year,2014,55,47,-1,9,0.8364,0.1636,2015,2010,Academy for Business and Technology,48122,42.2821402,-83.17677605
Academy for Business and Technology (82921),4-Year,2014,54,44,4,6,0.7963,0.0926,2014,2010,Academy for Business and Technology,48122,42.2821402,-83.17677605
Academy for Business and Technology (82921),4-Year,2012,73,62,3,8,0.8493,0.0959,2012,2008,Academy for Business and Technology,48122,42.2821402,-83.17677605
Academy for Business and Technology (82921),5-Year,2011,53,48,0,5,0.8868,0.0943,2012,2007,Academy for Business and Technology,48122,42.2821402,-83.17677605
Academy for Business and Technology (82921),4-Year,2015,61,47,5,9,0.7541,0.1475,2015,2011,Academy for Business and Technology,48122,42.2821402,-83.17677605
Academy for Business and Technology (82921),4-Year,2009,66,53,5,8,0.803,0.1061,2009,2005,Academy for Business and Technology,48122,42.2821402,-83.17677605
Academy for Business and Technology (82921),6-Year,2008,80,61,0,19,0.7625,0.2375,2010,2004,Academy for Business and Technology,48122,42.2821402,-83.17677605
Academy for Business and Technology (82921),5-Year,2013,70,60,-1,11,0.8571,0.1429,2014,2009,Academy for Business and Technology,48122,42.2821402,-83.17677605
Academy for Business and Technology (82921),5-Year,2008,80,61,3,16,0.7625,0.2,2009,2004,Academy for Business and Technology,48122,42.2821402,-83.17677605
Academy for Business and Technology (82921),6-Year,2007,58,42,-1,17,0.7069,0.2931,2009,2003,Academy for Business and Technology,48122,42.2821402,-83.17677605
Academy for Business and Technology (82921),6-Year,2012,70,65,-1,6,0.9143,0.0857,2014,2008,Academy for Business and Technology,48122,42.2821402,-83.17677605
Academy of Inkster (82961),5-Year,2010,48,36,0,12,0.75,0.25,2011,2006,Academy of Inkster,48141,42.304184,-83.323013
Academy of Inkster (82961),6-Year,2010,48,36,0,12,0.75,0.2292,2012,2006,Academy of Inkster,48141,42.304184,-83.323013
Academy of Inkster (82961),4-Year,2011,11,1,0,10,0.0909,0.8182,2011,2007,Academy of Inkster,48141,42.304184,-83.323013
Academy of Inkster (82961),5-Year,2008,60,51,0,9,0.85,0.15,2009,2004,Academy of Inkster,48141,42.304184,-83.323013
Academy of Inkster (82961),6-Year,2009,53,51,-1,3,0.9434,0.0566,2011,2005,Academy of Inkster,48141,42.304184,-83.323013
Academy of Inkster (82961),4-Year,2009,53,43,7,3,0.7925,0.0566,2009,2005,Academy of Inkster,48141,42.304184,-83.323013
Academy of Inkster (82961),4-Year,2010,53,36,5,12,0.6792,0.2264,2010,2006,Academy of Inkster,48141,42.304184,-83.323013
Academy of Inkster (82961),6-Year,2007,35,30,-1,6,0.8286,0.1714,2009,2003,Academy of Inkster,48141,42.304184,-83.323013
Academy of Inkster (82961),6-Year,2008,56,49,0,7,0.875,0.125,2010,2004,Academy of Inkster,48141,42.304184,-83.323013
Academy of Inkster (82961),5-Year,2009,54,50,-1,5,0.9259,0.0741,2010,2005,Academy of Inkster,48141,42.304184,-83.323013
ACE Academy (SDA) (82998),4-Year,2011,47,8,19,20,0.1702,0.4255,2011,2007,ACE Academy (SDA),48220,42.46067015,-83.13120791
ACE Academy (SDA) (82998),6-Year,2007,11,3,1,7,0.2727,0.5455,2009,2003,ACE Academy (SDA),48220,42.46067015,-83.13120791
