,ENROLL_YEAR,SCHOOL_NAME,COHORT_GRAD_YEAR,GRAD_YEAR,NUM_COHORT,NUM_GRADUATES,NUM_DROPOUTS,GRAD_RATE,DROP_RATE,ZIP,LATITUDE,LONGITUDE
1,2003,Academy for Business and Technology,2007,2009,58,42,17,0.724137931,0.293103448,48122,42.2821402,-83.17677605
2,2004,Academy for Business and Technology,2008,2010,80,61,19,0.7625,0.2375,48122,42.2821402,-83.17677605
3,2005,Academy for Business and Technology,2009,2011,66,55,8,0.833333333,0.121212121,48122,42.2821402,-83.17677605
4,2006,Academy for Business and Technology,2010,2012,70,58,11,0.828571429,0.157142857,48122,42.2821402,-83.17677605
5,2007,Academy for Business and Technology,2011,2013,55,48,6,0.872727273,0.109090909,48122,42.2821402,-83.17677605
6,2008,Academy for Business and Technology,2012,2014,73,65,8,0.890410959,0.109589041,48122,42.2821402,-83.17677605
7,2009,Academy for Business and Technology,2013,2015,71,60,11,0.845070423,0.154929577,48122,42.2821402,-83.17677605
8,2010,Academy for Business and Technology,2014,2015,55,47,9,0.854545455,0.163636364,48122,42.2821402,-83.17677605
9,2011,Academy for Business and Technology,2015,2015,61,47,9,0.770491803,0.147540984,48122,42.2821402,-83.17677605
10,2003,Academy of Inkster,2007,2009,35,30,6,0.857142857,0.171428571,48141,42.304184,-83.323013
11,2004,Academy of Inkster,2008,2010,60,51,9,0.85,0.15,48141,42.304184,-83.323013
12,2005,Academy of Inkster,2009,2011,54,51,5,0.944444444,0.092592593,48141,42.304184,-83.323013
13,2006,Academy of Inkster,2010,2012,53,36,12,0.679245283,0.226415094,48141,42.304184,-83.323013
14,2007,Academy of Inkster,2011,2011,11,1,10,0.090909091,0.909090909,48141,42.304184,-83.323013
15,2003,ACE Academy (SDA),2007,2009,11,3,7,0.272727273,0.636363636,48220,42.46067015,-83.13120791
16,2004,ACE Academy (SDA),2008,2010,28,6,14,0.214285714,0.5,48220,42.46067015,-83.13120791
17,2005,ACE Academy (SDA),2009,2011,57,7,45,0.122807018,0.789473684,48220,42.46067015,-83.13120791
18,2006,ACE Academy (SDA),2010,2012,60,11,41,0.183333333,0.683333333,48220,42.46067015,-83.13120791
19,2007,ACE Academy (SDA),2011,2011,47,8,20,0.170212766,0.425531915,48220,42.46067015,-83.13120791
20,2003,Advanced Technology Academy,2007,2009,65,49,17,0.753846154,0.261538462,48126,42.32207206,-83.17628924
21,2004,Advanced Technology Academy,2008,2010,67,63,4,0.940298507,0.059701493,48126,42.32207206,-83.17628924
22,2005,Advanced Technology Academy,2009,2011,71,68,4,0.957746479,0.056338028,48126,42.32207206,-83.17628924
23,2006,Advanced Technology Academy,2010,2012,70,65,6,0.928571429,0.085714286,48126,42.32207206,-83.17628924
24,2007,Advanced Technology Academy,2011,2013,89,82,3,0.921348315,0.033707865,48126,42.32207206,-83.17628924
25,2008,Advanced Technology Academy,2012,2014,103,90,7,0.873786408,0.067961165,48126,42.32207206,-83.17628924
26,2009,Advanced Technology Academy,2013,2015,113,109,4,0.96460177,0.03539823,48126,42.32207206,-83.17628924
27,2010,Advanced Technology Academy,2014,2015,104,95,7,0.913461538,0.067307692,48126,42.32207206,-83.17628924
28,2011,Advanced Technology Academy,2015,2015,90,72,4,0.8,0.044444444,48126,42.32207206,-83.17628924
29,2003,Aisha Shule/WEB Dubois Prep. Academy School,2007,2009,20,18,2,0.9,0.1,48221,42.442139,-83.158508
30,2004,Aisha Shule/WEB Dubois Prep. Academy School,2008,2010,31,21,9,0.677419355,0.290322581,48221,42.442139,-83.158508
31,2005,Aisha Shule/WEB Dubois Prep. Academy School,2009,2011,29,19,9,0.655172414,0.310344828,48221,42.442139,-83.158508
32,2006,Aisha Shule/WEB Dubois Prep. Academy School,2010,2012,18,13,5,0.722222222,0.277777778,48221,42.442139,-83.158508
33,2007,Aisha Shule/WEB Dubois Prep. Academy School,2011,2013,19,17,3,0.894736842,0.157894737,48221,42.442139,-83.158508
34,2008,Aisha Shule/WEB Dubois Prep. Academy School,2012,2014,24,17,8,0.708333333,0.333333333,48221,42.442139,-83.158508
35,2009,Aisha Shule/WEB Dubois Prep. Academy School,2013,2015,18,13,6,0.722222222,0.333333333,48221,42.442139,-83.158508
36,2003,Allen Academy,2007,2009,20,17,2,0.85,0.1,48204,42.33168322,-83.04799903
37,2004,Allen Academy,2008,2010,32,2,30,0.0625,0.9375,48204,42.33168322,-83.04799903
38,2005,Allen Academy,2009,2011,38,36,4,0.947368421,0.105263158,48204,42.33168322,-83.04799903
39,2006,Allen Academy,2010,2012,64,56,9,0.875,0.140625,48204,42.33168322,-83.04799903
40,2007,Allen Academy,2011,2013,51,44,8,0.862745098,0.156862745,48204,42.33168322,-83.04799903
41,2008,Allen Academy,2012,2014,49,48,3,0.979591837,0.06122449,48204,42.33168322,-83.04799903
42,2009,Allen Academy,2013,2015,38,32,7,0.842105263,0.184210526,48204,42.33168322,-83.04799903
43,2010,Allen Academy,2014,2015,66,57,7,0.863636364,0.106060606,48204,42.33168322,-83.04799903
44,2011,Allen Academy,2015,2015,52,37,8,0.711538462,0.153846154,48204,42.33168322,-83.04799903
45,2003,Allen Park Public Schools,2007,2009,343,299,22,0.871720117,0.064139942,48101,42.26392277,-83.2200486
46,2004,Allen Park Public Schools,2008,2010,371,329,23,0.886792453,0.061994609,48101,42.26392277,-83.2200486
47,2005,Allen Park Public Schools,2009,2011,364,319,39,0.876373626,0.107142857,48101,42.26392277,-83.2200486
48,2006,Allen Park Public Schools,2010,2012,333,290,35,0.870870871,0.105105105,48101,42.26392277,-83.2200486
49,2007,Allen Park Public Schools,2011,2013,365,324,37,0.887671233,0.101369863,48101,42.26392277,-83.2200486
50,2008,Allen Park Public Schools,2012,2014,374,325,41,0.868983957,0.109625668,48101,42.26392277,-83.2200486
51,2009,Allen Park Public Schools,2013,2015,314,281,25,0.894904459,0.079617834,48101,42.26392277,-83.2200486
52,2010,Allen Park Public Schools,2014,2015,353,314,34,0.889518414,0.09631728,48101,42.26392277,-83.2200486
53,2011,Allen Park Public Schools,2015,2015,290,255,23,0.879310345,0.079310345,48101,42.26392277,-83.2200486
54,2003,Blanche Kelso Bruce Academy,2007,2009,93,0,90,0,0.967741935,48202,42.33168322,-83.04799903
55,2004,Blanche Kelso Bruce Academy,2008,2010,107,0,101,0,0.943925234,48202,42.33168322,-83.04799903
56,2005,Blanche Kelso Bruce Academy,2009,2011,145,4,114,0.027586207,0.786206897,48202,42.33168322,-83.04799903
57,2006,Blanche Kelso Bruce Academy,2010,2012,134,4,79,0.029850746,0.589552239,48202,42.33168322,-83.04799903
58,2007,Blanche Kelso Bruce Academy,2011,2012,157,7,71,0.044585987,0.452229299,48202,42.33168322,-83.04799903
59,2008,Blanche Kelso Bruce Academy,2012,2012,77,12,22,0.155844156,0.285714286,48202,42.33168322,-83.04799903
60,2003,Casa Richard Academy,2007,2009,40,21,19,0.525,0.475,48216,42.33168322,-83.04799903
61,2004,Casa Richard Academy,2008,2010,40,13,34,0.325,0.85,48216,42.33168322,-83.04799903
62,2005,Casa Richard Academy,2009,2011,38,17,20,0.447368421,0.526315789,48216,42.33168322,-83.04799903
63,2006,Casa Richard Academy,2010,2012,59,35,20,0.593220339,0.338983051,48216,42.33168322,-83.04799903
64,2007,Casa Richard Academy,2011,2013,38,21,15,0.552631579,0.394736842,48216,42.33168322,-83.04799903
65,2008,Casa Richard Academy,2012,2014,41,19,16,0.463414634,0.390243902,48216,42.33168322,-83.04799903
66,2009,Casa Richard Academy,2013,2015,31,20,9,0.64516129,0.290322581,48216,42.33168322,-83.04799903
67,2010,Casa Richard Academy,2014,2015,23,12,8,0.52173913,0.347826087,48216,42.33168322,-83.04799903
68,2003,Cesar Chavez Academy,2007,2009,106,59,48,0.556603774,0.452830189,48209,42.33168322,-83.04799903
69,2004,Cesar Chavez Academy,2008,2010,115,81,35,0.704347826,0.304347826,48209,42.33168322,-83.04799903
