"","x"
"1","Allen Park Public Schools (82020)"
"2","Crestwood School District (82230)"
"3","Dearborn City School District (82030)"
"4","Dearborn Heights School District #7 (82040)"
"5","Detroit City School District (82010)"
"6","Ecorse Public Schools (82250)"
"7","Flat Rock Community Schools (82180)"
"8","Garden City Public Schools (82050)"
"9","Gibraltar School District (82290)"
"10","Grosse Ile Township Schools (82300)"
"11","Grosse Pointe Public Schools (82055)"
"12","Hamtramck, School District of the City of (82060)"
"13","Harper Woods, The School District of the City of (82320)"
"14","Highland Park City Schools (82070)"
"15","Huron School District (82340)"
"16","Lincoln Park, School District of the City of (82090)"
"17","Livonia Public Schools School District (82095)"
"18","Melvindale-North Allen Park Schools (82045)"
"19","Northville Public Schools (82390)"
"20","Plymouth-Canton Community Schools (82100)"
"21","Redford Union Schools, District No. 1 (82110)"
"22","River Rouge, School District of the City of (82120)"
"23","Riverview Community School District (82400)"
"24","Romulus Community Schools (82130)"
"25","School District of the City of Inkster (82080)"
"26","South Redford School District (82140)"
"27","Southgate Community School District (82405)"
"28","Taylor School District (82150)"
"29","Trenton Public Schools (82155)"
"30","Van Buren Public Schools (82430)"
"31","Wayne-Westland Community School District (82160)"
"32","Westwood Community School District (82240)"
"33","Woodhaven-Brownstown School District (82365)"
"34","Wyandotte, School District of the City of (82170)"
"35","Academy for Business and Technology (82921)"
"36","Academy of Inkster (82961)"
"37","ACE Academy (SDA) (82998)"
"38","Advanced Technology Academy (63914)"
"39","Aisha Shule/WEB Dubois Prep. Academy School (82903)"
"40","Allen Academy (82955)"
"41","Blanche Kelso Bruce Academy (82971)"
"42","Casa Richard Academy (82902)"
"43","Cesar Chavez Academy (82918)"
"44","Charlotte Forten Academy (82936)"
"45","Cherry Hill School of Performing Arts (82960)"
"46","Clara B. Ford Academy (SDA) (82996)"
"47","Covenant House Academy Detroit (82991)"
"48","Covenant House Academy East (82990)"
"49","Covenant House Academy Southwest (82989)"
"50","Detroit Academy of Arts and Sciences (82929)"
"51","Detroit Community Schools (82925)"
"52","Detroit Midtown Academy (82964)"
"53","Frontier International Academy (82987)"
"54","George Crockett Academy (82937)"
"55","HEART Academy (82927)"
"56","Henry Ford Academy (82926)"
"57","Hope of Detroit Academy (82957)"
"58","Life Skills Center of Metropolitan Detroit (82978)"
"59","Marvin L. Winans Academy of Performing Arts (82924)"
"60","Michigan Health Academy (82917)"
"61","Michigan Technical Academy (82907)"
"62","Oakland International Academy (63912)"
"63","Old Redford Academy (82956)"
"64","Riverside Academy (82975)"
"65","Ross-Hill Academy (82948)"
"66","Star International Academy (82941)"
"67","Summit Academy North (82938)"
"68","Trillium Academy (82973)"
"69","Universal Academy (82950)"
"70","University Preparatory Academy (PSAD) (82702)"
"71","Voyageur Academy (82940)"
"72","Weston Preparatory Academy (82943)"
"73","University Preparatory Academy (82965)"
"74","Vista Meadows Academy (82716)"
"75","Chandler Park Academy (82923)"
"76","McGivney Academy (SDA) (82721)"
"77","Plymouth Educational Center Charter School (82904)"
"78","Henry Ford Academy: School for Creative Studies (PSAD) (82703)"
"79","Highland Park Public School Academy System (82749)"
"80","W-A-Y Academy (82746)"
"81","Detroit Edison Public School Academy (82945)"
"82","University Preparatory Science and Math (PSAD) (82701)"
"83","Jalen Rose Leadership Academy (82728)"
"84","Pathways Academy (82737)"
"85","Regents Academy (82759)"
"86","WAY Michigan (82710)"
