"","YEAR","ZIP_CHAR","NUM_CRIMES","NUM_ASSAULT","NUM_LARCENY","NUM_BURGLARY","NUM_PROPERTY","NUM_AUTOTHEFT","NUM_TRAFFIC","NUM_FRAUD","NUM_ROBBERY","NUM_DRUGS","NUM_WEAPONS","NUM_ESCAPE","NUM_OBSTRUCT","NUM_CONDUCT","NUM_MURDER","NUM_AGG_ASSAULT"
"1",2009,48101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2",2010,48101,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2011,48101,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
"4",2012,48101,9,0,1,1,0,1,1,1,0,1,0,0,0,0,2,0
"5",2014,48101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2015,48101,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"7",2016,48101,6,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0
"8",2014,48103,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"9",2009,48104,11,2,1,0,0,3,1,0,0,0,0,0,0,0,3,0
"10",2010,48104,35,5,2,3,6,0,2,1,0,0,0,0,0,3,5,3
"11",2011,48104,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"12",2013,48104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",2010,48105,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"14",2011,48105,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"15",2013,48105,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"16",2015,48105,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"17",2016,48105,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"18",2010,48108,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",2010,48111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"20",2011,48111,5,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0
"21",2012,48111,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"22",2013,48111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"23",2014,48111,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"24",2015,48111,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"25",2016,48111,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
"26",2009,48120,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"27",2010,48120,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"28",2011,48120,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"29",2012,48120,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"30",2013,48120,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"31",2014,48120,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"32",2015,48120,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",2016,48120,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"34",2009,48122,9,0,2,0,1,2,0,0,2,0,0,0,0,0,1,0
"35",2010,48122,16,0,3,1,1,2,2,1,1,0,0,1,1,0,2,0
"36",2011,48122,14,1,2,0,1,1,0,1,3,0,0,1,0,0,3,0
"37",2012,48122,14,2,0,1,0,1,0,1,1,2,1,0,0,0,2,1
"38",2013,48122,12,0,2,1,1,0,2,0,0,0,0,1,1,0,0,0
"39",2014,48122,13,2,1,0,0,1,0,2,1,0,0,0,0,0,0,0
"40",2015,48122,19,1,4,2,2,1,1,1,0,0,0,0,0,0,0,2
"41",2016,48122,18,2,2,1,2,1,1,2,0,0,0,0,0,0,0,1
"42",2017,48122,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
