"","X","LAT","LON","ZIPCODE"
"1",1,42.426,-83.065,"48234"
"2",2,42.382,-83.106,"48206"
"3",3,42.315,-83.083,"48216"
"4",4,42.413,-83.008,"48205"
"5",5,42.336,-83.049,"48226"
"6",6,42.282,-83.148,"48217"
"7",7,42.391,-83.263,"48223"
"8",8,42.419,-83.005,"48205"
"9",9,42.406,-83.197,"48227"
"10",10,42.377,-83.032,"48211"
"11",11,42.356,-83.081,"48208"
"12",12,42.35,-83.085,"48208"
"13",13,42.362,-83.116,"48204"
"14",14,42.377,-83.069,"48202"
"15",15,42.429,-83.272,"48219"
"16",16,42.355,-83.191,"48228"
"17",17,42.37,-83.175,"48227"
"18",18,42.421,-83.286,"48219"
"19",19,42.35,-83.067,"48201"
"20",20,42.393,-83.223,"48223"
"21",21,42.397,-83.259,"48223"
"22",22,42.411,-82.996,"48205"
"23",23,42.411,-83.249,"48219"
"24",24,42.388,-83.071,"48211"
"25",25,42.425,-83.239,"48219"
"26",26,42.355,-83.095,"48208"
"27",27,42.335,-83.127,"48210"
"28",28,42.406,-82.989,"48213"
"29",29,42.417,-83.147,"48221"
"30",30,42.435,-82.991,"48205"
"31",31,42.42,-83.006,"48234"
"32",32,42.424,-82.955,"48224"
"33",33,42.369,-83.005,"48214"
"34",34,42.433,-82.998,"48205"
"35",35,42.334,-83.041,"48226"
"36",36,42.423,-82.998,"48205"
"37",37,42.417,-83.24,"48219"
"38",38,42.339,-83.222,"48228"
"39",39,42.354,-83.059,"48201"
"40",40,42.339,-83.084,"48208"
"41",41,42.447,-82.998,"48205"
"42",42,42.43,-82.951,"48224"
"43",43,42.336,-83.124,"48210"
"44",44,42.344,-83.035,"48207"
"45",45,42.404,-82.942,"48224"
"46",46,42.448,-82.998,"48205"
"47",47,42.312,-83.105,"48209"
"48",48,42.427,-83.004,"48205"
"49",49,42.41,-83.247,"48219"
"50",50,42.427,-83.205,"48235"
"51",51,42.404,-83.163,"48238"
"52",52,42.333,-83.058,"48226"
"53",53,42.429,-83.022,"48234"
"54",54,42.374,-83.172,"48227"
"55",55,42.373,-83.198,"48227"
"56",56,42.409,-82.977,"48213"
"57",57,42.432,-83.073,"48234"
"58",58,42.421,-83.061,"48212"
"59",59,42.408,-82.995,"48213"
"60",60,42.42,-83.204,"48235"
"61",61,42.4,-83.179,"48227"
"62",62,42.443,-83.088,"48203"
"63",63,42.42,-83.236,"48219"
"64",64,42.366,-83.105,"48206"
"65",65,42.415,-83.245,"48219"
"66",66,42.417,-83.126,"48221"
"67",67,42.419,-83.076,"48212"
"68",68,42.443,-83.246,"48219"
"69",69,42.309,-83.122,"48209"
"70",70,42.419,-83.204,"48235"
"71",71,42.389,-83.098,"48202"
"72",72,42.347,-83.124,"48210"
"73",73,42.353,-83.062,"48201"
"74",74,42.388,-83.156,"48238"
"75",75,42.35,-83.232,"48228"
"76",76,42.338,-83.034,"48207"
"77",77,42.339,-83.066,"48201"
"78",78,42.362,-83.175,"48228"
"79",79,42.439,-83.183,"48235"
"80",80,42.439,-83.042,"48234"
"81",81,42.435,-83.049,"48234"
"82",82,42.398,-83.192,"48227"
"83",83,42.315,-83.119,"48209"
"84",84,42.352,-83.069,"48201"
"85",85,42.367,-82.956,"48215"
"86",86,42.315,-83.117,"48209"
"87",87,42.358,-83.139,"48204"
"88",88,42.419,-83.053,"48212"
"89",89,42.435,-82.952,"48224"
"90",90,42.437,-83.004,"48205"
"91",91,42.368,-82.951,"48215"
"92",92,42.345,-83.109,"48210"
"93",93,42.43,-82.96,"48205"
"94",94,42.352,-83.237,"48228"
"95",95,42.426,-83.006,"48234"
"96",96,42.369,-83.077,"48202"
"97",97,42.332,-83.126,"48210"
"98",98,42.343,-83.219,"48228"
"99",99,42.369,-83.076,"48202"
"100",100,42.366,-83.168,"48228"
"101",101,42.425,-83.203,"48235"
"102",102,42.385,-83.209,"48227"
"103",103,42.351,-83.048,"48201"
"104",104,42.352,-83.048,"48201"
"105",105,42.365,-83.197,"48227"
"106",106,42.31,-83.109,"48209"
"107",107,42.371,-83.259,"48239"
"108",108,42.434,-83.024,"48234"
"109",109,42.33,-83.048,"48226"
"110",110,42.309,-83.097,"48209"
"111",111,42.358,-83.15,"48204"
"112",112,42.439,-83.149,"48221"
"113",113,42.422,-83.227,"48219"
"114",114,42.385,-83.22,"48223"
"115",115,42.424,-82.961,"48224"
"116",116,42.405,-83.208,"48227"
"117",117,42.426,-83.052,"48234"
"118",118,42.357,-83.186,"48228"
"119",119,42.329,-83.047,"48226"
"120",120,42.443,-83.083,"48234"
"121",121,42.329,-83.044,"48226"
"122",122,42.432,-83.115,"48203"
"123",123,42.365,-83.194,"48228"
"124",124,42.331,-83.051,"48226"
"125",125,42.426,-83.171,"48235"
"126",126,42.379,-82.98,"48214"
"127",127,42.428,-82.974,"48205"
"128",128,42.394,-83.222,"48223"
"129",129,42.395,-83.222,"48223"
"130",130,42.371,-83.083,"48202"
"131",131,42.439,-83.176,"48235"
"132",132,42.392,-83.155,"48238"
"133",133,42.393,-83.078,"48202"
"134",134,42.332,-83.047,"48226"
"135",135,42.373,-83.076,"48202"
"136",136,42.322,-83.106,"48209"
"137",137,42.347,-83.057,"48201"
"138",138,42.443,-82.966,"48205"
"139",139,42.401,-82.93,"48224"
"140",140,42.355,-83.234,"48228"
"141",141,42.439,-83.119,"48203"
"142",142,42.426,-83.057,"48234"
"143",143,42.435,-83.102,"48203"
"144",144,42.352,-83.064,"48201"
"145",145,42.407,-83.178,"48227"
"146",146,42.428,-82.932,"48225"
"147",147,42.373,-83.199,"48227"
"148",148,42.354,-82.996,"48214"
"149",149,42.356,-83.177,"48228"
"150",150,42.389,-83.159,"48238"
"151",151,42.367,-83.142,"48204"
"152",152,42.42,-83.284,"48219"
"153",153,42.335,-83.138,"48210"
"154",154,42.358,-83.119,"48204"
"155",155,42.357,-83.119,"48204"
"156",156,42.418,-83.113,"48203"
"157",157,42.388,-83.01,"48213"
"158",158,42.441,-83.204,"48235"
"159",159,42.428,-83.199,"48235"
"160",160,42.307,-83.101,"48209"
"161",161,42.385,-83.205,"48227"
"162",162,42.425,-83.248,"48219"
"163",163,42.353,-83.185,"48228"
"164",164,42.388,-82.951,"48215"
"165",165,42.424,-83.277,"48219"
"166",166,42.37,-83.235,"48228"
"167",167,42.434,-83.197,"48235"
"168",168,42.426,-82.95,"48224"
"169",169,42.383,-82.995,"48214"
"170",170,42.371,-83.032,"48211"
"171",171,42.399,-83.139,"48238"
"172",172,42.4,-83.139,"48238"
"173",173,42.427,-82.991,"48205"
"174",174,42.435,-83.043,"48234"
"175",175,42.343,-83.008,"48207"
"176",176,42.435,-83.261,"48219"
"177",177,42.357,-83.115,"48204"
"178",178,42.367,-83.159,"48204"
"179",179,42.371,-83.228,"48228"
"180",180,42.306,-83.106,"48209"
