"","GRAD_YEAR","ZIP","NUM_SCHOOLS","NUM_COHORT","NUM_GRADUATES","NUM_DROPOUTS","GRAD_RATE","DROP_RATE","NUM_CRIMES"
"1",2009,48072,1,28,21,8,0.75,0.285714285714286,0
"2",2009,48101,1,343,299,22,0.871720116618076,0.0641399416909621,1
"3",2009,48111,1,520,460,57,0.884615384615385,0.109615384615385,0
"4",2009,48120,1,109,104,6,0.954128440366973,0.055045871559633,2
"5",2009,48122,2,239,199,42,0.832635983263598,0.175732217573222,9
"6",2009,48124,1,1456,1197,250,0.822115384615385,0.171703296703297,33
"7",2009,48125,2,369,277,90,0.750677506775068,0.24390243902439,2
"8",2009,48126,1,65,49,17,0.753846153846154,0.261538461538462,284
"9",2009,48127,2,318,287,29,0.90251572327044,0.0911949685534591,51
"10",2009,48134,1,131,122,10,0.931297709923664,0.0763358778625954,3
"11",2009,48135,1,561,365,168,0.650623885918004,0.299465240641711,2
"12",2009,48138,1,196,193,3,0.98469387755102,0.0153061224489796,3
"13",2009,48141,3,329,213,109,0.64741641337386,0.331306990881459,2
"14",2009,48146,1,343,278,61,0.810495626822157,0.177842565597668,1
"15",2009,48154,1,1558,1434,84,0.920410783055199,0.0539152759948652,0
"16",2009,48164,1,177,163,13,0.92090395480226,0.0734463276836158,0
"17",2009,48167,1,504,474,6,0.94047619047619,0.0119047619047619,1
"18",2009,48170,1,1441,1297,129,0.900069396252602,0.0895211658570437,2
"19",2009,48174,2,516,402,87,0.779069767441861,0.168604651162791,0
"20",2009,48180,1,802,645,152,0.804239401496259,0.189526184538653,2
"21",2009,48183,3,859,779,82,0.906868451688009,0.0954598370197905,2
"22",2009,48185,1,1079,840,213,0.778498609823911,0.19740500463392,0
"23",2009,48192,1,408,340,32,0.833333333333333,0.0784313725490196,1
"24",2009,48193,1,232,220,12,0.948275862068966,0.0517241379310345,3
"25",2009,48195,1,859,454,311,0.528521536670547,0.362048894062864,1
"26",2009,48202,4,9645,6343,3092,0.657646448937273,0.320580611715915,5532
"27",2009,48203,1,739,266,459,0.359945872801083,0.621109607577808,6143
"28",2009,48204,1,20,17,2,0.85,0.1,6606
"29",2009,48207,2,394,188,196,0.477157360406091,0.49746192893401,4823
"30",2009,48208,1,83,15,59,0.180722891566265,0.710843373493976,2911
"31",2009,48209,1,106,59,48,0.556603773584906,0.452830188679245,6498
"32",2009,48210,4,216,150,67,0.694444444444444,0.310185185185185,5390
"33",2009,48211,1,10,9,1,0.9,0.1,2378
"34",2009,48212,1,235,161,73,0.685106382978723,0.31063829787234,3391
"35",2009,48214,1,166,50,111,0.301204819277108,0.668674698795181,4170
"36",2009,48216,2,166,51,113,0.307228915662651,0.680722891566265,1850
"37",2009,48218,1,136,108,27,0.794117647058823,0.198529411764706,17
"38",2009,48219,2,134,108,27,0.805970149253731,0.201492537313433,10007
"39",2009,48220,1,11,3,7,0.272727272727273,0.636363636363636,54
"40",2009,48221,1,20,18,2,0.9,0.1,7382
"41",2009,48223,1,102,89,12,0.872549019607843,0.117647058823529,5326
"42",2009,48225,2,134,123,13,0.917910447761194,0.0970149253731343,455
"43",2009,48229,1,143,83,59,0.58041958041958,0.412587412587413,137
"44",2009,48230,1,760,739,19,0.972368421052632,0.025,154
"45",2009,48234,1,74,61,13,0.824324324324324,0.175675675675676,9722
"46",2009,48235,1,32,18,14,0.5625,0.4375,10386
"47",2009,48239,2,293,239,55,0.815699658703072,0.187713310580205,1017
"48",2009,48240,1,333,256,77,0.768768768768769,0.231231231231231,1285
"49",2010,48072,1,39,32,8,0.82051282051282,0.205128205128205,0
"50",2010,48101,1,371,329,23,0.886792452830189,0.0619946091644205,1
"51",2010,48111,1,578,506,69,0.875432525951557,0.119377162629758,1
"52",2010,48120,1,116,112,5,0.96551724137931,0.0431034482758621,1
"53",2010,48122,2,275,228,48,0.829090909090909,0.174545454545455,16
"54",2010,48124,1,1450,1239,196,0.85448275862069,0.135172413793103,19
"55",2010,48125,2,359,263,90,0.732590529247911,0.250696378830084,5
"56",2010,48126,2,79,75,4,0.949367088607595,0.0506329113924051,279
"57",2010,48127,3,388,352,29,0.907216494845361,0.0747422680412371,59
"58",2010,48134,1,138,113,26,0.818840579710145,0.188405797101449,1
"59",2010,48135,1,571,390,149,0.683012259194396,0.260945709281961,0
"60",2010,48138,1,183,179,5,0.978142076502732,0.0273224043715847,0
"61",2010,48141,3,440,256,156,0.581818181818182,0.354545454545455,1
"62",2010,48146,1,327,255,59,0.779816513761468,0.180428134556575,4
"63",2010,48154,1,1540,1425,78,0.925324675324675,0.0506493506493507,11
"64",2010,48164,1,205,181,21,0.882926829268293,0.102439024390244,1
"65",2010,48167,1,551,526,6,0.954627949183303,0.0108892921960073,0
"66",2010,48170,1,1532,1371,124,0.89490861618799,0.0809399477806789,5
"67",2010,48174,2,570,435,108,0.763157894736842,0.189473684210526,5
"68",2010,48180,1,851,694,142,0.81551116333725,0.166862514688602,0
"69",2010,48183,3,921,848,69,0.920738327904452,0.0749185667752443,2
"70",2010,48185,1,1095,860,195,0.785388127853881,0.178082191780822,3
"71",2010,48192,1,370,300,32,0.810810810810811,0.0864864864864865,3
"72",2010,48193,1,231,219,12,0.948051948051948,0.051948051948052,1
"73",2010,48195,1,955,486,332,0.508900523560209,0.347643979057592,1
"74",2010,48202,3,9577,6301,2905,0.657930458389893,0.303330896940587,5163
"75",2010,48203,1,751,295,413,0.392809587217044,0.549933422103862,5578
"76",2010,48204,1,32,2,30,0.0625,0.9375,6437
"77",2010,48207,3,422,205,201,0.485781990521327,0.476303317535545,4854
"78",2010,48208,1,160,23,118,0.14375,0.7375,3055
"79",2010,48209,1,115,81,35,0.704347826086957,0.304347826086957,6066
"80",2010,48210,3,222,144,78,0.648648648648649,0.351351351351351,5324
"81",2010,48211,1,16,12,3,0.75,0.1875,2102
"82",2010,48212,2,266,174,86,0.654135338345865,0.323308270676692,2921
"83",2010,48214,1,201,42,147,0.208955223880597,0.73134328358209,4120
"84",2010,48216,2,228,48,174,0.210526315789474,0.763157894736842,1677
"85",2010,48218,1,116,75,38,0.646551724137931,0.327586206896552,38
"86",2010,48219,2,160,127,35,0.79375,0.21875,9227
"87",2010,48220,1,28,6,14,0.214285714285714,0.5,84
"88",2010,48221,1,31,21,9,0.67741935483871,0.290322580645161,6852
"89",2010,48223,1,112,103,7,0.919642857142857,0.0625,4937
"90",2010,48225,2,118,106,14,0.898305084745763,0.11864406779661,424
"91",2010,48229,1,140,78,57,0.557142857142857,0.407142857142857,152
"92",2010,48230,1,844,813,19,0.963270142180095,0.0225118483412322,169
"93",2010,48234,1,68,60,10,0.882352941176471,0.147058823529412,9551
"94",2010,48235,1,33,8,25,0.242424242424242,0.757575757575758,10447
"95",2010,48239,2,341,276,54,0.809384164222874,0.158357771260997,1034
"96",2010,48240,1,342,254,81,0.742690058479532,0.236842105263158,1033
"97",2011,48072,1,40,33,6,0.825,0.15,0
"98",2011,48101,1,364,319,39,0.876373626373626,0.107142857142857,5
"99",2011,48111,1,524,460,57,0.877862595419847,0.108778625954198,5
"100",2011,48120,1,106,99,6,0.933962264150943,0.0566037735849057,2
"101",2011,48122,2,253,219,31,0.865612648221344,0.122529644268775,14
"102",2011,48124,1,1475,1226,216,0.831186440677966,0.146440677966102,14
"103",2011,48125,2,446,284,125,0.63677130044843,0.280269058295964,2
"104",2011,48126,2,94,89,7,0.946808510638298,0.074468085106383,276
"105",2011,48127,5,444,292,119,0.657657657657658,0.268018018018018,74
"106",2011,48134,1,139,108,24,0.776978417266187,0.172661870503597,1
"107",2011,48135,1,592,412,155,0.695945945945946,0.261824324324324,1
"108",2011,48138,1,162,151,10,0.932098765432099,0.0617283950617284,1
"109",2011,48141,4,522,313,189,0.599616858237548,0.362068965517241,2
"110",2011,48146,1,335,250,50,0.746268656716418,0.149253731343284,3
"111",2011,48154,1,1540,1401,96,0.90974025974026,0.0623376623376623,5
