"","YEAR","ZIP_CHAR","NUM_CRIMES","NUM_ASSAULT","NUM_LARCENY","NUM_BURGLARY","NUM_PROPERTY","NUM_AUTOTHEFT","NUM_AGG_ASSAULT","NUM_MURDER","NUM_TRAFFIC","NUM_FRAUD","NUM_ROBBERY","NUM_DRUGS","NUM_WEAPONS","NUM_ESCAPE","NUM_OBSTRUCT","NUM_CONDUCT","NUM_VIOLENT","NUM_YOUTH","NUM_WHITECOLLAR","NUM_SUBSTANCE"
"1",2009,48101,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"2",2010,48101,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"3",2011,48101,5,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"4",2012,48101,9,0,1,1,3,1,0,2,1,1,0,1,0,0,0,0,2,3,1,1
"5",2014,48101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2015,48101,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
"7",2016,48101,6,0,1,0,1,0,0,0,2,1,0,0,0,1,0,0,0,3,1,0
"8",2014,48103,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"9",2009,48104,11,2,1,0,4,3,0,3,1,0,0,0,0,0,0,0,5,4,0,0
"10",2010,48104,35,5,2,3,11,0,3,5,2,1,0,0,0,0,0,3,13,19,2,0
"11",2011,48104,3,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"12",2013,48104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",2010,48105,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"14",2011,48105,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"15",2013,48105,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"16",2015,48105,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"17",2016,48105,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"18",2010,48108,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"19",2010,48111,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"20",2011,48111,5,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,3,1,0,0
"21",2012,48111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"22",2013,48111,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"23",2014,48111,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"24",2015,48111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"25",2016,48111,5,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0
"26",2009,48120,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
"27",2010,48120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"28",2011,48120,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
"29",2012,48120,4,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"30",2013,48120,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"31",2014,48120,5,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
"32",2015,48120,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"33",2016,48120,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",2009,48122,9,0,2,0,8,2,0,1,0,0,2,0,0,0,0,0,1,4,0,0
"35",2010,48122,16,0,3,1,8,2,0,2,2,1,1,0,0,1,1,0,2,6,1,0
"36",2011,48122,14,1,2,0,7,1,0,3,0,1,3,0,0,1,0,0,4,4,1,0
"37",2012,48122,14,2,0,1,5,1,1,2,0,1,1,2,1,0,0,0,5,6,1,2
"38",2013,48122,12,0,2,1,4,0,0,0,2,0,0,0,0,1,1,0,0,5,0,0
"39",2014,48122,13,2,1,0,3,1,0,0,0,2,1,0,0,0,0,0,2,3,2,0
"40",2015,48122,19,1,4,2,9,1,2,0,1,1,0,0,0,0,0,0,3,9,1,1
"41",2016,48122,18,2,2,1,6,1,1,0,1,2,0,0,0,0,0,0,4,7,2,0
"42",2017,48122,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"43",2009,48124,33,0,2,7,20,3,0,2,2,0,1,1,0,0,0,0,2,10,0,1
"44",2010,48124,19,2,4,1,9,2,3,2,1,1,0,0,0,0,0,0,7,9,1,0
"45",2011,48124,14,0,3,0,7,2,1,2,0,1,0,0,0,0,0,0,3,5,2,0
"46",2012,48124,25,0,4,1,9,0,2,2,6,1,1,1,0,0,0,0,4,14,1,1
"47",2013,48124,12,2,1,3,6,1,1,0,1,0,0,0,0,0,0,1,3,7,0,1
"48",2014,48124,11,0,0,0,1,1,0,0,4,2,0,1,0,0,0,0,0,7,2,2
"49",2015,48124,13,0,1,1,4,0,1,0,1,3,0,0,0,0,0,0,1,4,3,0
"50",2016,48124,10,2,2,0,2,0,0,0,1,1,0,0,0,0,0,0,2,6,1,0
"51",2009,48125,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",2010,48125,5,1,0,1,1,0,0,0,1,0,0,0,0,2,0,0,1,2,0,0
