"","YEAR","ZIP","NUM_CRIMES"
"1","2009",48101,1
"2","2010",48101,1
"3","2011",48101,5
"4","2012",48101,9
"5","2014",48101,1
"6","2015",48101,4
"7","2016",48101,6
"8","2014",48103,1
"9","2009",48104,11
"10","2010",48104,35
"11","2011",48104,3
"12","2013",48104,1
"13","2010",48105,2
"14","2011",48105,1
"15","2013",48105,1
"16","2015",48105,1
"17","2016",48105,1
"18","2010",48108,2
"19","2010",48111,1
"20","2011",48111,5
"21","2012",48111,1
"22","2013",48111,1
"23","2014",48111,1
"24","2015",48111,1
"25","2016",48111,5
"26","2009",48120,2
"27","2010",48120,1
"28","2011",48120,2
"29","2012",48120,4
"30","2013",48120,2
"31","2014",48120,5
"32","2015",48120,2
"33","2016",48120,2
"34","2009",48122,9
"35","2010",48122,16
"36","2011",48122,14
"37","2012",48122,14
"38","2013",48122,12
"39","2014",48122,13
"40","2015",48122,19
"41","2016",48122,18
"42","2017",48122,1
"43","2009",48124,33
"44","2010",48124,19
"45","2011",48124,14
"46","2012",48124,25
"47","2013",48124,12
"48","2014",48124,11
"49","2015",48124,13
"50","2016",48124,10
"51","2009",48125,2
"52","2010",48125,5
"53","2011",48125,2
"54","2012",48125,2
"55","2013",48125,2
"56","2014",48125,3
"57","2015",48125,6
"58","2016",48125,1
"59","2009",48126,284
"60","2010",48126,279
"61","2011",48126,276
"62","2012",48126,251
"63","2013",48126,200
"64","2014",48126,202
"65","2015",48126,195
"66","2016",48126,201
"67","2017",48126,8
"68","2009",48127,51
"69","2010",48127,59
"70","2011",48127,74
"71","2012",48127,89
"72","2013",48127,85
"73","2014",48127,71
"74","2015",48127,73
"75","2016",48127,45
"76","2017",48127,6
"77","2009",48128,3
"78","2010",48128,3
"79","2011",48128,5
"80","2012",48128,11
"81","2013",48128,7
"82","2014",48128,13
"83","2015",48128,12
"84","2016",48128,12
"85","2011",48133,2
"86","2014",48133,2
"87","2016",48133,1
"88","2009",48134,3
"89","2010",48134,1
"90","2011",48134,1
"91","2012",48134,1
"92","2013",48134,1
"93","2016",48134,2
"94","2009",48135,2
"95","2011",48135,1
"96","2014",48135,5
"97","2015",48135,5
"98","2016",48135,1
"99","2009",48138,3
"100","2011",48138,1
"101","2012",48138,2
"102","2016",48138,1
"103","2009",48141,2
"104","2010",48141,1
"105","2011",48141,2
"106","2012",48141,1
"107","2013",48141,6
"108","2014",48141,4
"109","2015",48141,2
"110","2016",48141,2
"111","2014",48144,1
"112","2009",48146,1
"113","2010",48146,4
"114","2011",48146,3
"115","2012",48146,9
"116","2013",48146,6
"117","2014",48146,6
"118","2015",48146,9
"119","2016",48146,9
"120","2009",48150,11
"121","2010",48150,19
"122","2011",48150,20
"123","2012",48150,6
"124","2013",48150,12
"125","2014",48150,13
"126","2015",48150,5
"127","2016",48150,7
"128","2009",48152,138
"129","2010",48152,136
"130","2011",48152,162
"131","2012",48152,345
"132","2013",48152,144
"133","2014",48152,130
"134","2015",48152,179
"135","2016",48152,180
"136","2017",48152,7
"137","2010",48154,11
"138","2011",48154,5
"139","2012",48154,2
"140","2013",48154,4
"141","2014",48154,14
"142","2015",48154,7
"143","2016",48154,6
"144","2013",48161,1
"145","2014",48161,1
"146","2015",48161,3
"147","2016",48161,1
"148","2010",48164,1
"149","2012",48164,1
"150","2013",48164,1
"151","2012",48165,1
"152","2010",48166,2
"153","2016",48166,1
"154","2009",48167,1
"155","2011",48167,1
"156","2013",48167,1
"157","2015",48167,2
"158","2010",48168,1
"159","2011",48168,1
"160","2014",48168,2
"161","2016",48168,1
"162","2009",48170,2
"163","2010",48170,5
"164","2012",48170,1
"165","2014",48170,3
"166","2015",48170,2
"167","2010",48173,1
"168","2010",48174,5
"169","2011",48174,8
"170","2012",48174,4
"171","2013",48174,4
"172","2014",48174,4
"173","2015",48174,6
"174","2016",48174,2
"175","2009",48180,2
"176","2011",48180,4
"177","2012",48180,4
"178","2013",48180,2
"179","2014",48180,5
"180","2015",48180,2
"181","2016",48180,4
"182","2009",48183,2
"183","2010",48183,2
"184","2012",48183,1
"185","2014",48183,1
"186","2011",48184,5
"187","2012",48184,5
"188","2013",48184,1
"189","2014",48184,1
"190","2010",48185,3
"191","2011",48185,5
"192","2012",48185,2
"193","2013",48185,1
"194","2014",48185,2
"195","2015",48185,3
"196","2016",48185,6
"197","2009",48186,1
"198","2012",48186,2
"199","2013",48186,2
"200","2014",48186,1
"201","2015",48186,1
"202","2010",48187,4
"203","2011",48187,2
"204","2012",48187,1
"205","2013",48187,2
"206","2014",48187,2
"207","2016",48187,2
"208","2009",48188,2
"209","2010",48188,4
"210","2012",48188,2
"211","2013",48188,5
"212","2014",48188,4
"213","2015",48188,3
"214","2016",48188,2
"215","2014",48189,1
"216","2009",48191,1
"217","2009",48192,1
"218","2010",48192,3
"219","2012",48192,2
"220","2013",48192,2
"221","2014",48192,1
"222","2016",48192,1
"223","2009",48193,3
"224","2010",48193,1
"225","2011",48193,3
"226","2009",48195,1
"227","2010",48195,1
"228","2011",48195,4
"229","2012",48195,2
"230","2013",48195,3
"231","2014",48195,2
"232","2015",48195,2
"233","2016",48195,9
"234","2009",48197,2
"235","2011",48197,3
"236","2013",48197,1
"237","2009",48198,2
"238","2010",48198,3
"239","2013",48198,1
"240","2015",48198,1
"241","2009",48201,5533
"242","2010",48201,5035
"243","2011",48201,4512
"244","2012",48201,4586
"245","2013",48201,4492
"246","2014",48201,3862
"247","2015",48201,3970
"248","2016",48201,3850
"249","2017",48201,182
"250","2009",48202,5532
"251","2010",48202,5163
"252","2011",48202,4595
"253","2012",48202,4408
"254","2013",48202,4447
"255","2014",48202,4006
"256","2015",48202,3978
"257","2016",48202,3775
"258","2017",48202,185
"259","2009",48203,6143
"260","2010",48203,5578
"261","2011",48203,5056
"262","2012",48203,4472
"263","2013",48203,4133
"264","2014",48203,4002
"265","2015",48203,4123
"266","2016",48203,3629
"267","2017",48203,188
"268","2009",48204,6606
"269","2010",48204,6437
"270","2011",48204,5862
"271","2012",48204,5630
"272","2013",48204,5333
"273","2014",48204,4690
"274","2015",48204,4577
"275","2016",48204,4003
"276","2017",48204,192
"277","2009",48205,14205
"278","2010",48205,12702
"279","2011",48205,11184
"280","2012",48205,10719
"281","2013",48205,9607
"282","2014",48205,9299
"283","2015",48205,9201
"284","2016",48205,8663
"285","2017",48205,454
"286","2009",48206,4431
"287","2010",48206,3788
"288","2011",48206,3434
"289","2012",48206,3608
"290","2013",48206,3293
"291","2014",48206,2999
"292","2015",48206,2987
"293","2016",48206,2683
"294","2017",48206,131
"295","2009",48207,4823
"296","2010",48207,4854
"297","2011",48207,4637
"298","2012",48207,4575
"299","2013",48207,4086
"300","2014",48207,3515
"301","2015",48207,3383
"302","2016",48207,3477
"303","2017",48207,219
"304","2009",48208,2911
"305","2010",48208,3055
"306","2011",48208,2786
"307","2012",48208,2905
"308","2013",48208,2825
"309","2014",48208,2551
"310","2015",48208,2616
"311","2016",48208,2481
"312","2017",48208,77
"313","2009",48209,6498
"314","2010",48209,6066
"315","2011",48209,5442
"316","2012",48209,4858
"317","2013",48209,4735
"318","2014",48209,4654
"319","2015",48209,4497
"320","2016",48209,4154
"321","2017",48209,216
"322","2009",48210,5390
"323","2010",48210,5324
"324","2011",48210,4850
"325","2012",48210,4495
"326","2013",48210,4308
"327","2014",48210,3889
"328","2015",48210,4034
"329","2016",48210,3551
"330","2017",48210,196
"331","2009",48211,2378
"332","2010",48211,2102
"333","2011",48211,2033
"334","2012",48211,1910
"335","2013",48211,1729
"336","2014",48211,1655
"337","2015",48211,1536
"338","2016",48211,1644
"339","2017",48211,79
"340","2009",48212,3391
"341","2010",48212,2921
"342","2011",48212,2723
"343","2012",48212,2394
"344","2013",48212,2346
"345","2014",48212,2307
"346","2015",48212,2298
"347","2016",48212,2469
"348","2017",48212,111
"349","2009",48213,9012
"350","2010",48213,7953
"351","2011",48213,6522
"352","2012",48213,6099
"353","2013",48213,5635
"354","2014",48213,5302
"355","2015",48213,5076
"356","2016",48213,4760
"357","2017",48213,249
"358","2009",48214,4170
"359","2010",48214,4120
"360","2011",48214,3534
"361","2012",48214,3370
"362","2013",48214,3285
"363","2014",48214,2851
"364","2015",48214,2914
"365","2016",48214,2905
"366","2017",48214,182
"367","2009",48215,2887
"368","2010",48215,2584
"369","2011",48215,2116
"370","2012",48215,2247
"371","2013",48215,2141
"372","2014",48215,1908
"373","2015",48215,1967
"374","2016",48215,2058
"375","2017",48215,104
"376","2009",48216,1850
"377","2010",48216,1677
"378","2011",48216,1648
"379","2012",48216,1652
"380","2013",48216,1680
"381","2014",48216,1677
