"","ENROLL_YEAR","ZIP","NUM_SCHOOLS","NUM_COHORT","NUM_GRADUATES","NUM_DROPOUTS","COHORT_GRAD_YEAR","GRAD_RATE","DROP_RATE"
"1",2003,48072,1,28,21,8,2007,0.75,0.285714285714286
"2",2004,48072,1,39,32,8,2008,0.82051282051282,0.205128205128205
"3",2005,48072,1,40,33,6,2009,0.825,0.15
"4",2006,48072,1,39,32,8,2010,0.82051282051282,0.205128205128205
"5",2007,48072,1,53,48,5,2011,0.905660377358491,0.0943396226415094
"6",2003,48101,1,343,299,22,2007,0.871720116618076,0.0641399416909621
"7",2004,48101,1,371,329,23,2008,0.886792452830189,0.0619946091644205
"8",2005,48101,1,364,319,39,2009,0.876373626373626,0.107142857142857
"9",2006,48101,1,333,290,35,2010,0.870870870870871,0.105105105105105
"10",2007,48101,1,365,324,37,2011,0.887671232876712,0.101369863013699
"11",2008,48101,1,374,325,41,2012,0.868983957219251,0.109625668449198
"12",2009,48101,1,314,281,25,2013,0.894904458598726,0.0796178343949045
"13",2010,48101,1,353,314,34,2014,0.889518413597734,0.0963172804532578
"14",2011,48101,1,290,255,23,2015,0.879310344827586,0.0793103448275862
"15",2003,48111,1,520,460,57,2007,0.884615384615385,0.109615384615385
"16",2004,48111,1,578,506,69,2008,0.875432525951557,0.119377162629758
"17",2005,48111,1,524,460,57,2009,0.877862595419847,0.108778625954198
"18",2006,48111,1,444,368,63,2010,0.828828828828829,0.141891891891892
"19",2007,48111,1,504,412,60,2011,0.817460317460317,0.119047619047619
"20",2008,48111,1,426,356,59,2012,0.835680751173709,0.13849765258216
"21",2009,48111,1,417,357,57,2013,0.856115107913669,0.136690647482014
"22",2010,48111,1,428,364,44,2014,0.850467289719626,0.102803738317757
"23",2011,48111,1,452,389,41,2015,0.860619469026549,0.0907079646017699
"24",2003,48121,1,109,104,6,2007,0.954128440366973,0.055045871559633
"25",2004,48121,1,116,112,5,2008,0.96551724137931,0.0431034482758621
"26",2005,48121,1,106,99,6,2009,0.933962264150943,0.0566037735849057
"27",2006,48121,1,118,105,13,2010,0.889830508474576,0.110169491525424
"28",2007,48121,1,108,90,14,2011,0.833333333333333,0.12962962962963
"29",2008,48121,1,106,98,4,2012,0.924528301886792,0.0377358490566038
"30",2009,48121,1,122,117,2,2013,0.959016393442623,0.0163934426229508
"31",2010,48121,1,112,106,5,2014,0.946428571428571,0.0446428571428571
"32",2011,48121,1,100,93,3,2015,0.93,0.03
"33",2003,48122,2,239,199,42,2007,0.832635983263598,0.175732217573222
"34",2004,48122,2,275,228,48,2008,0.829090909090909,0.174545454545455
