"","GRAD_YEAR","ZIP","NUM_SCHOOLS","NUM_COHORT","NUM_GRADUATES","NUM_DROPOUTS","GRAD_RATE","DROP_RATE"
"1",2009,48072,1,28,21,8,0.75,0.285714285714286
"2",2010,48072,1,39,32,8,0.82051282051282,0.205128205128205
"3",2011,48072,1,40,33,6,0.825,0.15
"4",2012,48072,1,39,32,8,0.82051282051282,0.205128205128205
"5",2013,48072,1,53,48,5,0.905660377358491,0.0943396226415094
"6",2009,48101,1,343,299,22,0.871720116618076,0.0641399416909621
"7",2010,48101,1,371,329,23,0.886792452830189,0.0619946091644205
"8",2011,48101,1,364,319,39,0.876373626373626,0.107142857142857
"9",2012,48101,1,333,290,35,0.870870870870871,0.105105105105105
"10",2013,48101,1,365,324,37,0.887671232876712,0.101369863013699
"11",2014,48101,1,374,325,41,0.868983957219251,0.109625668449198
"12",2015,48101,3,957,850,82,0.888192267502612,0.0856844305120167
"13",2009,48111,1,520,460,57,0.884615384615385,0.109615384615385
"14",2010,48111,1,578,506,69,0.875432525951557,0.119377162629758
"15",2011,48111,1,524,460,57,0.877862595419847,0.108778625954198
"16",2012,48111,1,444,368,63,0.828828828828829,0.141891891891892
"17",2013,48111,1,504,412,60,0.817460317460317,0.119047619047619
"18",2014,48111,1,426,356,59,0.835680751173709,0.13849765258216
"19",2015,48111,3,1297,1110,142,0.855821125674634,0.109483423284503
"20",2009,48121,1,109,104,6,0.954128440366973,0.055045871559633
"21",2010,48121,1,116,112,5,0.96551724137931,0.0431034482758621
"22",2011,48121,1,106,99,6,0.933962264150943,0.0566037735849057
"23",2012,48121,1,118,105,13,0.889830508474576,0.110169491525424
"24",2013,48121,1,108,90,14,0.833333333333333,0.12962962962963
"25",2014,48121,1,106,98,4,0.924528301886792,0.0377358490566038
"26",2015,48121,3,334,316,10,0.946107784431138,0.029940119760479
"27",2009,48122,2,239,199,42,0.832635983263598,0.175732217573222
"28",2010,48122,2,275,228,48,0.829090909090909,0.174545454545455
"29",2011,48122,2,253,219,31,0.865612648221344,0.122529644268775
"30",2012,48122,2,268,232,32,0.865671641791045,0.119402985074627
"31",2013,48122,2,258,233,16,0.903100775193798,0.062015503875969
"32",2014,48122,2,276,254,20,0.920289855072464,0.072463768115942
