id,SchoolYear,BuildingCode,BuildingName,DistrictCode,DistrictName,ISDCode,ISDName,EntityType,Status,SCHOOL_EMPHASIS,SETTING,ADDRESS_LINE_1,CITY,STATE,ZIP_CODE,SCHOOL_TYPE,SCHOOL_LEVEL,LOCALE_NAME,COUNTY_NAME,CurrentAccreditationStatus,ContactEmail,Latitude,Longitude,Location
4294,13 - 14 School Year,65,Allen Park High School,82020,Allen Park,82,Wayne RESA,LEA School,Open-Active,General Education,GenEd,18401 CHAMPAIGN RD,ALLEN PARK,MI,48101,General Education,High School,Suburb: Large,Wayne,NCA Accredited,JANET.WASKO@APPS.K12.MI.US,42.26392277,-83.2200486,"18401 CHAMPAIGN RD
ALLEN PARK, MI 48101
(42.24931270900049, -83.22477643799965)"
4293,13 - 14 School Year,0,Allen Park Public Schools,82020,Allen Park,82,Wayne RESA,LEA District,Open-Active,,,9601 VINE AVE,ALLEN PARK,MI,48101,,Elem thru High School,Suburb: Large,Wayne,N/A,JOHN.STUROCK@APPS.K12.MI.US,42.26392277,-83.2200486,"9601 VINE AVE
ALLEN PARK, MI 48101
(42.23952006900049, -83.20376384699966)"
4298,13 - 14 School Year,3517,Allen Park Middle School,82020,Allen Park,82,Wayne RESA,LEA School,Open-Active,General Education,GenEd,8401 VINE AVE,ALLEN PARK,MI,48101,General Education,Middle School,Suburb: Large,Wayne,NCA Accredited,MIKE.DAWSON@APPS.K12.MI.US,42.26392277,-83.2200486,"8401 VINE AVE
ALLEN PARK, MI 48101
(42.24370285200047, -83.20465340899966)"
4296,13 - 14 School Year,279,Bennie Elementary School,82020,Allen Park,82,Wayne RESA,LEA School,Open-Active,General Education,GenEd,17401 CHAMPAIGN RD,ALLEN PARK,MI,48101,General Education,Elementary,Suburb: Large,Wayne,NCA Accredited,CATHY.GOULET@APPS.K12.MI.US,42.26392277,-83.2200486,"17401 CHAMPAIGN RD
ALLEN PARK, MI 48101
(42.24933428200046, -83.22356723199965)"
4353,13 - 14 School Year,7381,Rogers Early Elementary School,82045,Melvindale-N. Allen Park,82,Wayne RESA,LEA School,Open-Active,General Education,GenEd,5000 SHENANDOAH AVE,ALLEN PARK,MI,48101,General Education,Elementary,Suburb: Large,Wayne,NCA Accredited,TAFELSL@MELNAP.K12.MI.US,42.26392277,-83.2200486,"5000 SHENANDOAH AVE
ALLEN PARK, MI 48101
(42.27234225800049, -83.21390619899967)"
4297,13 - 14 School Year,2229,Lindemann Elementary School,82020,Allen Park,82,Wayne RESA,LEA School,Open-Active,General Education,GenEd,9201 CARTER AVE,ALLEN PARK,MI,48101,General Education,Elementary,Suburb: Large,Wayne,NCA Accredited,MIKE.DARGA@APPS.K12.MI.US,42.26392277,-83.2200486,"9201 CARTER AVE
ALLEN PARK, MI 48101
(42.2420412620005, -83.21781361899968)"
4295,13 - 14 School Year,121,Arno Elementary School,82020,Allen Park,82,Wayne RESA,LEA School,Open-Active,General Education,GenEd,7500 FOX AVE,ALLEN PARK,MI,48101,General Education,Elementary,Suburb: Large,Wayne,NCA Accredited,JENNIFER.MCGUIRE@APPS.K12.MI.US,42.26392277,-83.2200486,"7500 FOX AVE
ALLEN PARK, MI 48101
(42.25085848600048, -83.20480810199967)"
4299,13 - 14 School Year,8422,Allen Park Community School,82020,Allen Park,82,Wayne RESA,LEA School,Open-Active,Alternative Education,AltEd,14700 MOORE AVE,ALLEN PARK,MI,48101,Alternative Education,High School,Suburb: Large,Wayne,NCA Accredited,TANYA.DUFFY@APPS.K12.MI.US,42.26392277,-83.2200486,"14700 MOORE AVE
ALLEN PARK, MI 48101
(42.23968593400048, -83.20446025199965)"
4647,13 - 14 School Year,0,Van Buren Public Schools,82430,Van Buren,82,Wayne RESA,LEA District,Open-Active,,,555 WEST COLUMBIA AVE,BELLEVILLE,MI,48111,,Elem thru High School,Suburb: Large,Wayne,N/A,MVANTASSEL@VANBURENSCHOOLS.NET,42.20543404,-83.4863161,"555 WEST COLUMBIA AVE
BELLEVILLE, MI 48111
(42.20297314600049, -83.49492932999965)"
4882,13 - 14 School Year,9306,Keystone Academy,82976,Keystone Academy,82,Wayne RESA,PSA School,Open-Active,General Education,Multiple Settings,47925 BEMIS RD,BELLEVILLE,MI,48111,General Education,Elem_Middle School,Suburb: Large,Wayne,Not Accredited,46.KGODFREY@HERITAGEACADEMIES.COM,42.20543404,-83.4863161,"47925 BEMIS RD
BELLEVILLE, MI 48111
(42.17503146500047, -83.50637955399964)"
4653,13 - 14 School Year,5988,McBride Middle School,82430,Van Buren,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,47097 MCBRIDE AVE,BELLEVILLE,MI,48111,General Education,Middle School,Suburb: Large,Wayne,NCA Accredited,RWILKINSON@VANBURENSCHOOLS.NET,42.20543404,-83.4863161,"47097 MCBRIDE AVE
BELLEVILLE, MI 48111
(42.22615244700046, -83.50321077999968)"
4654,13 - 14 School Year,6826,Tyler Road Elementary School,82430,Van Buren,82,Wayne RESA,LEA School,Open-Active,General Education,Multiple Settings,42200 TYLER RD,BELLEVILLE,MI,48111,General Education,Elementary,Suburb: Large,Wayne,NCA Accredited,ALPITT@VANBURENSCHOOLS.NET,42.20543404,-83.4863161,"42200 TYLER RD
BELLEVILLE, MI 48111
(42.23457678000045, -83.45284108499965)"
