Location Name,Rate Year,Cohort Graduation Year,Total Cohort,Total Graduated,"Other Completer (GED, etc.)",Off-Track Continuing,Dropouts,Graduation Rate,Dropout Rate
Statewide,4-Year,2014,"124,279","97,664","1,493","13,179","11,943",78.58%,9.61%
Statewide,5-Year,2013,"127,495","102,516","2,073","5,734","17,172",80.41%,13.47%
Statewide,6-Year,2012,"129,353","104,366","2,515","2,831","19,641",80.68%,15.18%
Allen Park Public Schools (82020),4-Year,2014,353,299,<10,25,29,84.70%,8.22%
Allen Park Public Schools (82020),5-Year,2013,307,280,<10,<10,24,91.21%,7.82%
Allen Park Public Schools (82020),6-Year,2012,365,325,<10,<10,38,89.04%,10.41%
Crestwood School District (82230),4-Year,2014,323,295,<10,19,<10,91.33%,2.79%
Crestwood School District (82230),5-Year,2013,293,284,<10,<10,<10,96.93%,1.71%
Crestwood School District (82230),6-Year,2012,283,265,<10,<10,18,93.64%,6.36%
Dearborn City School District (82030),4-Year,2014,"1,433","1,247",20,70,96,87.02%,6.70%
Dearborn City School District (82030),5-Year,2013,"1,468","1,319",12,19,118,89.85%,8.04%
Dearborn City School District (82030),6-Year,2012,"1,370","1,210",<10,<10,147,88.32%,10.73%
Dearborn Heights School District #7 (82040),4-Year,2014,198,137,<10,38,23,69.19%,11.62%
Dearborn Heights School District #7 (82040),5-Year,2013,184,147,<10,<10,33,79.89%,17.93%
Dearborn Heights School District #7 (82040),6-Year,2012,184,158,<10,<10,25,85.87%,13.59%
Detroit City School District (82010),4-Year,2014,"3,309","2,351",11,341,606,71.05%,18.31%
Detroit City School District (82010),5-Year,2013,"4,031","2,839",17,223,952,70.43%,23.62%
Detroit City School District (82010),6-Year,2012,"5,487","4,015",25,138,"1,309",73.17%,23.86%
Ecorse Public Schools (82250),4-Year,2014,115,72,<10,17,24,62.61%,20.87%
Ecorse Public Schools (82250),5-Year,2013,138,89,<10,<10,42,64.49%,30.43%
Ecorse Public Schools (82250),6-Year,2012,138,99,<10,<10,35,71.74%,25.36%
Flat Rock Community Schools (82180),4-Year,2014,130,113,<10,<10,<10,86.92%,6.92%
Flat Rock Community Schools (82180),5-Year,2013,152,140,<10,<10,10,92.11%,6.58%
Flat Rock Community Schools (82180),6-Year,2012,121,111,<10,<10,<10,91.74%,7.44%
Garden City Public Schools (82050),4-Year,2014,540,362,<10,104,74,67.04%,13.70%
Garden City Public Schools (82050),5-Year,2013,627,460,<10,44,123,73.37%,19.62%
Garden City Public Schools (82050),6-Year,2012,608,468,<10,24,116,76.97%,19.08%
Gibraltar School District (82290),4-Year,2014,287,245,<10,24,18,85.37%,6.27%
Gibraltar School District (82290),5-Year,2013,286,257,<10,<10,26,89.86%,9.09%
Gibraltar School District (82290),6-Year,2012,284,269,<10,<10,15,94.72%,5.28%
Grosse Ile Township Schools (82300),4-Year,2014,163,153,<10,<10,<10,93.87%,2.45%
Grosse Ile Township Schools (82300),5-Year,2013,156,152,<10,<10,<10,97.44%,2.56%
Grosse Ile Township Schools (82300),6-Year,2012,164,164,<10,<10,<10,100.00%,0.00%
Grosse Pointe Public Schools (82055),4-Year,2014,750,707,<10,24,14,94.27%,1.87%
Grosse Pointe Public Schools (82055),5-Year,2013,732,695,<10,10,19,94.95%,2.60%
Grosse Pointe Public Schools (82055),6-Year,2012,729,702,<10,<10,16,96.30%,2.19%
"Hamtramck, School District of the City of (82060)",4-Year,2014,311,196,<10,36,79,63.02%,25.40%
"Hamtramck, School District of the City of (82060)",5-Year,2013,315,187,<10,11,117,59.37%,37.14%
"Hamtramck, School District of the City of (82060)",6-Year,2012,220,141,<10,<10,77,64.09%,35.00%
"Harper Woods, The School District of the City of (82320)",4-Year,2014,248,119,<10,72,55,47.98%,22.18%
"Harper Woods, The School District of the City of (82320)",5-Year,2013,248,133,<10,38,76,53.63%,30.65%
"Harper Woods, The School District of the City of (82320)",6-Year,2012,211,158,<10,10,41,74.88%,19.43%
Highland Park City Schools (82070),4-Year,2014,13,<10,<10,<10,12,N/A,N/A
Highland Park City Schools (82070),5-Year,2013,33,<10,<10,<10,31,6.06%,93.94%
Highland Park City Schools (82070),6-Year,2012,148,75,<10,<10,72,50.68%,48.65%
Huron School District (82340),4-Year,2014,187,162,<10,20,<10,86.63%,1.60%
Huron School District (82340),5-Year,2013,197,186,<10,<10,<10,94.42%,4.06%
Huron School District (82340),6-Year,2012,186,173,<10,<10,10,93.01%,5.38%
"Lincoln Park, School District of the City of (82090)",4-Year,2014,314,247,<10,31,33,78.66%,10.51%
"Lincoln Park, School District of the City of (82090)",5-Year,2013,344,280,<10,21,42,81.40%,12.21%
"Lincoln Park, School District of the City of (82090)",6-Year,2012,309,263,<10,<10,37,85.11%,11.97%
Livonia Public Schools School District (82095),4-Year,2014,"1,343","1,216",<10,70,53,90.54%,3.95%
Livonia Public Schools School District (82095),5-Year,2013,"1,444","1,340",10,32,62,92.80%,4.29%
Livonia Public Schools School District (82095),6-Year,2012,"1,415","1,297",20,40,58,91.66%,4.10%
Melvindale-North Allen Park Schools (82045),4-Year,2014,219,204,<10,11,<10,93.15%,1.83%
Melvindale-North Allen Park Schools (82045),5-Year,2013,195,190,<10,<10,<10,97.44%,1.54%
Melvindale-North Allen Park Schools (82045),6-Year,2012,199,189,<10,<10,10,94.97%,5.03%
Northville Public Schools (82390),4-Year,2014,600,567,<10,28,<10,94.50%,0.83%
Northville Public Schools (82390),5-Year,2013,555,530,<10,15,<10,95.50%,1.08%
Northville Public Schools (82390),6-Year,2012,505,483,<10,13,<10,95.64%,0.99%
Plymouth-Canton Community Schools (82100),4-Year,2014,"1,557","1,378",11,115,53,88.50%,3.40%
Plymouth-Canton Community Schools (82100),5-Year,2013,"1,652","1,496",22,31,103,90.56%,6.23%
Plymouth-Canton Community Schools (82100),6-Year,2012,"1,567","1,415",27,16,109,90.30%,6.96%
"Redford Union Schools, District No. 1 (82110)",4-Year,2014,343,212,<10,85,44,61.81%,12.83%
